Source,Destination,src_lat,src_lon,dst_lat,dst_lon
"Davangere,Davangere","TARIKERE,Chikmagalur",14.4679807,75.9195682,13.7083491,75.812342
"Whitefield,Bengaluru","NELAMANGALA,BANGALORE RURAL",12.9957428,77.7579489,13.0953024,77.3963586
"Davangere,Davangere","CHALLAKERE,CHITRADURGA",14.4679807,75.9195682,14.3167885,76.6521533
"Davangere,Davangere","HOLALKERE,CHITRADURGA",14.4679807,75.9195682,14.0428326,76.1844875
"Bellary,Davangere","Hadagalli,Vijayanagara",14.4609878,75.9244844,,
"Davangere,Davangere","HONNALI,Davangere",14.4679807,75.9195682,,
"Davangere,Davangere","MOLAKALMURU,CHITRADURGA",14.4679807,75.9195682,,
"Davangere,Davangere","CHIKMAGALUR,Chikmagalur",14.4679807,75.9195682,13.3156188,75.7756615
"Whitefield,Bengaluru","CHIKNAYAKANHALLI,TUMKUR",12.9957428,77.7579489,,
"Whitefield,Bengaluru","TUMKUR,TUMKUR",12.9957428,77.7579489,13.3400771,77.1006208
"Taloja,Taloja Plant","Khed,PUNE",,,18.8515893,73.836186
"Whitefield,Bengaluru","TIRUMAKUDAL NARSIPUR,Mysore",12.9957428,77.7579489,,
"Whitefield,Bengaluru","NANJANGUD,Mysore",12.9957428,77.7579489,12.1276786,76.6811152
"Taloja Railhead,Taloja Railhead","Kalamb,OSMANABAD",,,18.5730474,76.0224924
"Whitefield,Bengaluru","GUNDLUPET,Chamarajanagar",12.9957428,77.7579489,11.808496,76.6916141
"Solapur,Solapur","Solapur South,SOLAPUR",17.6699734,75.9008118,17.6047163,76.0346941
"Davangere,Davangere","Hagaribommanahalli,Vijayanagara",14.4679807,75.9195682,15.0468189,76.2117626
"Davangere,Davangere","Hosapete,Vijayanagara",14.4679807,75.9195682,15.266493,76.3872297
"Whitefield,Bengaluru","GAURIBIDANUR,Chikballapur",12.9957428,77.7579489,,
"Whitefield,Bengaluru","HASSAN,HASSAN",12.9957428,77.7579489,,
"Whitefield,Bengaluru","GUBBI,TUMKUR",12.9957428,77.7579489,,
"Kolhapur,Kolhapur","Karvir,KOLHAPUR",16.7028412,74.2405329,16.6603273,74.1960038
"Manmad,Nashik","Chandvad,NASHIK",20.2519828,74.4392286,20.3278147,74.2387228
"Miraj,Kolhapur","Khanapur,SANGLI",16.7730437,74.5406145,17.2912945,74.6152022
"Whitefield,Bengaluru","HEGGADADEVANKOTE,Mysore",12.9957428,77.7579489,12.0824558,76.3351884
"Whitefield,Bengaluru","BELUR,HASSAN",12.9957428,77.7579489,13.1645671,75.8634851
"Whitefield,Bengaluru","KOLAR,KOLAR",12.9957428,77.7579489,13.123993,78.1329276
"Whitefield,Bengaluru","KOLLEGAL,Chamarajanagar",12.9957428,77.7579489,12.1560966,77.1071726
"Taloja Railhead,Taloja Railhead","Bhokardan,JALNA",,,20.2928317,75.8040159
"Salem,Salem","RASIPURAM,NAMAKKAL",,,11.4537338,78.1784576
"Whitefield,Bengaluru","NAGAMANGALA,MANDYA",12.9957428,77.7579489,12.8196077,76.7542189
"Manmad,Nashik","Baglan,NASHIK",20.2519828,74.4392286,,
"Taloja Railhead,Taloja Railhead","Aurangabad,AURANGABAD",,,,
